,date,country_code_a,country_code_b,relations_score,num_verbal_coop,num_material_coop,num_verbal_conf,num_material_conf
0,2022-03-01,AFG,AUS,-3.3649505821183783,0,0,1,2
1,2022-03-01,AFG,BRA,-0.4487351012512958,3,2,3,0
2,2022-03-01,CHE,AFG,0.10791725977254937,0,2,0,0
3,2022-03-01,AFG,CHN,1.7217323917312397,3,0,0,0
4,2022-03-01,AFG,DEU,0.2524602544921461,11,0,0,0
5,2022-03-01,AFG,EUR,0.4248648174731099,2,3,0,0
6,2022-03-01,AFG,GBR,0.23489299619049164,13,2,2,5
7,2022-03-01,HND,AFG,0.40362506407033727,0,4,0,0
8,2022-03-01,AFG,IRN,0.026979314943137343,0,2,2,0
9,2022-03-01,IRQ,AFG,0.37217149037727765,6,1,2,2
10,2022-03-01,AFG,LBY,0.37173157109338517,4,0,0,0
11,2022-03-01,MDV,AFG,-2.634766683741043,4,0,0,3
12,2022-03-01,MMR,AFG,2.979921447227146,1,0,0,0
13,2022-03-01,NZL,AFG,-0.4742587317756679,0,0,0,1
14,2022-03-01,AFG,PAK,0.197784296082722,19,8,0,9
15,2022-03-01,AFG,POL,-0.47585423765369905,9,3,0,3
16,2022-03-01,AFG,PSE,-5.0,0,0,0,2
17,2022-03-01,QAT,AFG,-0.269886089403844,5,0,1,0
18,2022-03-01,AFG,RUS,-0.3849819508775678,20,8,10,7
19,2022-03-01,SAS,AFG,-4.403985389889412,0,0,0,1
20,2022-03-01,AFG,SRB,-5.0,0,0,0,2
21,2022-03-01,SVK,AFG,-1.4346381566604334,0,0,0,2
22,2022-03-01,AFG,SWE,3.7,0,2,0,0
23,2022-03-01,THA,AFG,-0.17986209962091562,0,0,0,2
24,2022-03-01,AFG,TJK,0.8692029220221177,0,2,0,0
25,2022-03-01,AFG,TUR,-9.436417916219295,0,0,0,1
26,2022-03-01,UKR,AFG,-0.2665198018047358,35,5,7,13
27,2022-03-01,AFG,USA,0.3979799638307547,59,22,11,11
28,2022-03-01,VNM,AFG,0.16124796880372708,1,0,0,0
29,2022-03-01,WST,AFG,3.0,0,2,0,0
30,2022-03-01,AFG,YEM,-2.7530344166171283,0,0,0,3
31,2022-03-01,AFR,AGO,0.11145080196728194,4,0,0,0
32,2022-03-01,AIA,AFR,-1.3447071068499756,0,0,0,1
33,2022-03-01,AFR,ARE,0.16243229336704113,5,0,0,1
34,2022-03-01,AUS,AFR,1.1518288818808138,4,3,0,0
35,2022-03-01,BEL,AFR,0.23322152437315555,2,0,0,0
36,2022-03-01,AFR,BFA,1.9980275777008867,2,0,0,0
37,2022-03-01,AFR,BGD,2.0,4,0,0,0
38,2022-03-01,AFR,BWA,0.34509086576503145,9,2,0,0
39,2022-03-01,AFR,CAN,0.0,1,0,0,0
40,2022-03-01,AFR,CHE,0.9195594812246654,5,0,0,0
41,2022-03-01,CHN,AFR,1.0367915180171587,9,2,2,0
42,2022-03-01,CIV,AFR,-2.300811332654219,1,0,0,1
43,2022-03-01,AFR,COG,2.8803924716880154,0,4,0,0
44,2022-03-01,AFR,CYP,1.3984953911239746,2,0,0,0
45,2022-03-01,CZE,AFR,-0.08993104981045781,0,0,2,0
46,2022-03-01,DEU,AFR,0.14059446528417427,4,4,0,2
47,2022-03-01,AFR,DJI,0.19966489438704693,4,0,0,0
48,2022-03-01,AFR,EGY,0.009233765493322466,3,0,0,2
49,2022-03-01,AFR,ERI,1.6626021525943884,5,0,0,0
50,2022-03-01,ETH,AFR,1.0431546781487955,3,1,2,0
51,2022-03-01,AFR,EUR,0.8231108048093996,15,4,1,1
52,2022-03-01,FRA,AFR,1.2328813200869828,5,0,0,2
53,2022-03-01,GBR,AFR,0.15387852248030226,9,1,5,0
54,2022-03-01,AFR,GHA,1.6033785736775052,4,0,0,0
55,2022-03-01,AFR,GIN,0.26331894217588003,5,0,0,0
56,2022-03-01,AFR,GMB,0.0,2,0,0,0
57,2022-03-01,AFR,HUN,0.1957888343596291,8,0,0,0
58,2022-03-01,IRQ,AFR,-3.5999999999999996,0,0,0,2
