,Global_Event_ID,Day,YYYYMM,YYYY,Day_Time,Actor_1_Country_Code,Actor_1_Name,Actor_1_Country_ABBR,Actor_1_Known_Group_Code,Actor_1_Ethnic_Code,Actor_1_Religion_Code,Actor_1_Religion_2_Code,Actor_1_Role,Actor_1_Role2,Actor_1_Role3,Actor_2_Country_Code,Actor_2_Name,Actor_2_Country_ABBR,Actor_2_Know_Group_Code,Actor_2_Ethnic_Code,Actor_2_Religion_Code,Actor_2_Religion_2_Code,Actor_2_Role,Actor_2_Role2,Actor_2_Role3,Is_Root_Event,Event_Code,Event_Base_Code,Event_Root_Code,Quad_Class,Goldstein_Scale,Num_Mentions,Num_Sources,Num_Articles,AVG_TONE,Actor_1_Geo_Type,Actor_1_Geo_FullName,Actor_1_Geo_Country_Code,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor_2_Geo_Type,Actor_2_Geo_FullName,Actor_2_Geo_Country_Code,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,Mention_Type,ST_PR_CNTRY,Country,ADM1Code_Extra,ADM2Code_Extra,Lat_Extra,Long_Extra,ActorGeo_FeaturID_Extra,Date_Added,Source_URL,Confidence
0,954680550,20201113,202011,2020,2020.8575,AFG,AFGHANISTAN,AFG,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,1,190,190,19,4,-10.0,1,1,1,2.63691683569979,5,"Helmand, Helmand, Afghanistan",AF,AF10,3544,31.0,64.0,-3377342,1,United Kingdom,UK,UK,,54.0,-4.0,UK,5,"Helmand, Helmand, Afghanistan",AF,AF10,3544,31.0,64.0,-3377342,20201113001500,https://www.elystandard.co.uk/news/scottys-little-soldiers-remembrance-day-good-morning-britain-1-6927036,10
1,954680551,20201113,202011,2020,2020.8575,AFG,AFGHANISTAN,AFG,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,1,190,190,19,4,-10.0,1,1,1,2.63691683569979,1,United Kingdom,UK,UK,,54.0,-4.0,UK,1,United Kingdom,UK,UK,,54.0,-4.0,UK,1,United Kingdom,UK,UK,,54.0,-4.0,UK,20201113001500,https://www.elystandard.co.uk/news/scottys-little-soldiers-remembrance-day-good-morning-britain-1-6927036,10
2,954680555,20201113,202011,2020,2020.8575,AFG,AFGHANISTAN,AFG,,,,,,,,IRQ,IRAQ,IRQ,,,,,,,,0,046,46,4,1,7.0,6,1,6,-0.21881838074398,1,Afghanistan,AF,AF,,33.0,66.0,AF,1,Iraq,IZ,IZ,,33.0,44.0,IZ,1,Afghanistan,AF,AF,,33.0,66.0,AF,20201113001500,https://www.lsureveille.com/news/lsu-students-for-trump-students-for-democrats-weigh-in-on-americas-political-divide/article_686cc48c-23b5-11eb-ab1f-f3784844a681.html,60
3,954680556,20201113,202011,2020,2020.8575,AFG,AFGHANISTAN,AFG,,,,,,,,IRQ,IRAQ,IRQ,,,,,,,,0,046,46,4,1,7.0,2,1,2,-0.21881838074398,1,Iraq,IZ,IZ,,33.0,44.0,IZ,1,Iraq,IZ,IZ,,33.0,44.0,IZ,1,Afghanistan,AF,AF,,33.0,66.0,AF,20201113001500,https://www.lsureveille.com/news/lsu-students-for-trump-students-for-democrats-weigh-in-on-americas-political-divide/article_686cc48c-23b5-11eb-ab1f-f3784844a681.html,20
4,954680557,20201113,202011,2020,2020.8575,AFG,AFGHANISTAN,AFG,,,,,,,,IRQ,IRAQ,IRQ,,,,,,,,0,046,46,4,1,7.0,2,1,2,-0.21881838074398,1,Iraq,IZ,IZ,,33.0,44.0,IZ,1,Iraq,IZ,IZ,,33.0,44.0,IZ,1,Iraq,IZ,IZ,,33.0,44.0,IZ,20201113001500,https://www.lsureveille.com/news/lsu-students-for-trump-students-for-democrats-weigh-in-on-americas-political-divide/article_686cc48c-23b5-11eb-ab1f-f3784844a681.html,20
5,954680560,20201113,202011,2020,2020.8575,AFG,AFGHAN,AFG,,,,,,,,QAT,QATAR,QAT,,,,,,,,1,026,26,2,1,4.0,2,1,2,-1.97368421052632,1,Afghanistan,AF,AF,,33.0,66.0,AF,4,"Doha, Ad Daw?ah, Qatar",QA,QA01,25307,25.2867,51.5333,-785169,1,Afghanistan,AF,AF,,33.0,66.0,AF,20201113001500,https://www.ksl.com/article/50038383/us-special-envoy-calls-for-urgent-reduction-of-violence-in-afghanistan,20
6,954680561,20201113,202011,2020,2020.8575,AFG,AFGHANISTAN,AFG,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,020,20,2,1,3.0,1,1,1,-3.88247639034628,4,"Jerusalem, Israel (general), Israel",IS,IS00,18315,31.7667,35.2333,-797092,4,"Jerusalem, Israel (general), Israel",IS,IS00,18315,31.7667,35.2333,-797092,4,"Jerusalem, Israel (general), Israel",IS,IS00,18315,31.7667,35.2333,-797092,20201113001500,https://www.nzherald.co.nz/world/us-election-donald-trumps-decision-to-fire-defence-chief-raises-fears-about-what-he-could-do-in-last-days-of-office/7OTJTSB5CDT5QUVYX3WRYYO7XY/,10
7,954680562,20201113,202011,2020,2020.8575,AFG,AFGHANISTAN,AFG,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,020,20,2,1,3.0,1,1,1,-3.88247639034628,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20201113001500,https://www.nzherald.co.nz/world/us-election-donald-trumps-decision-to-fire-defence-chief-raises-fears-about-what-he-could-do-in-last-days-of-office/7OTJTSB5CDT5QUVYX3WRYYO7XY/,10
8,954680563,20201113,202011,2020,2020.8575,AFG,AFGHANISTAN,AFG,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,020,20,2,1,3.0,5,1,4,-3.88247639034628,1,Afghanistan,AF,AF,,33.0,66.0,AF,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,1,Afghanistan,AF,AF,,33.0,66.0,AF,20201113001500,https://www.nzherald.co.nz/world/us-election-donald-trumps-decision-to-fire-defence-chief-raises-fears-about-what-he-could-do-in-last-days-of-office/7OTJTSB5CDT5QUVYX3WRYYO7XY/,50
9,954680564,20201113,202011,2020,2020.8575,AFG,AFGHANISTAN,AFG,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,020,20,2,1,3.0,1,1,1,-3.88247639034628,1,Saudi Arabia,SA,SA,,25.0,45.0,SA,1,Saudi Arabia,SA,SA,,25.0,45.0,SA,1,Saudi Arabia,SA,SA,,25.0,45.0,SA,20201113001500,https://www.nzherald.co.nz/world/us-election-donald-trumps-decision-to-fire-defence-chief-raises-fears-about-what-he-could-do-in-last-days-of-office/7OTJTSB5CDT5QUVYX3WRYYO7XY/,10
